2025-09-29 13:00:01,559 - INFO - Processing symbol: BTC/USDT
2025-09-29 13:00:01,559 - INFO - Downloading historical ZIPs for BTC/USDT 1m from 2023-09-30 13:00:01.559379 to 2025-08-30 13:00:01.559385
2025-09-29 13:00:03,811 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2023-09.zip
2025-09-29 13:00:05,678 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2023-10.zip
2025-09-29 13:00:08,093 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2023-11.zip
2025-09-29 13:00:10,278 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2023-12.zip
2025-09-29 13:00:12,615 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2024-01.zip
2025-09-29 13:00:14,788 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2024-02.zip
2025-09-29 13:00:17,163 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2024-03.zip
2025-09-29 13:00:19,504 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2024-04.zip
2025-09-29 13:00:22,468 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2024-05.zip
2025-09-29 13:00:38,459 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2024-06.zip
2025-09-29 13:00:42,509 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2024-07.zip
2025-09-29 13:00:46,824 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2024-08.zip
2025-09-29 13:00:51,187 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2024-09.zip
2025-09-29 13:00:55,632 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2024-10.zip
2025-09-29 13:00:58,342 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2024-11.zip
2025-09-29 13:01:01,870 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2024-12.zip
2025-09-29 13:01:05,419 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2025-01.zip
2025-09-29 13:01:08,703 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2025-02.zip
2025-09-29 13:01:11,142 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2025-03.zip
2025-09-29 13:01:14,704 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2025-04.zip
2025-09-29 13:01:17,698 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2025-05.zip
2025-09-29 13:01:20,418 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2025-06.zip
2025-09-29 13:01:22,711 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2025-07.zip
2025-09-29 13:01:25,265 - INFO - Downloaded raw ZIP: data\BTCUSDT\1m\2025-08.zip
2025-09-29 13:01:25,265 - INFO - Downloaded 24 historical ZIPs for BTC/USDT 1m
2025-09-29 13:01:27,937 - WARNING - Error extracting data\BTCUSDT\1m\2025-01.zip: Out of bounds nanosecond timestamp: 56971-10-25 00:00:00
2025-09-29 13:01:28,042 - WARNING - Error extracting data\BTCUSDT\1m\2025-02.zip: Out of bounds nanosecond timestamp: 57056-09-09 00:00:00
2025-09-29 13:01:28,144 - WARNING - Error extracting data\BTCUSDT\1m\2025-03.zip: Out of bounds nanosecond timestamp: 57133-05-09 00:00:00
2025-09-29 13:01:28,253 - WARNING - Error extracting data\BTCUSDT\1m\2025-04.zip: Out of bounds nanosecond timestamp: 57218-03-24 00:00:00
2025-09-29 13:01:28,381 - WARNING - Error extracting data\BTCUSDT\1m\2025-05.zip: Out of bounds nanosecond timestamp: 57300-05-13 00:00:00
2025-09-29 13:01:28,496 - WARNING - Error extracting data\BTCUSDT\1m\2025-06.zip: Out of bounds nanosecond timestamp: 57385-03-28 00:00:00
2025-09-29 13:01:28,610 - WARNING - Error extracting data\BTCUSDT\1m\2025-07.zip: Out of bounds nanosecond timestamp: 57467-05-18 00:00:00
2025-09-29 13:01:28,720 - WARNING - Error extracting data\BTCUSDT\1m\2025-08.zip: Out of bounds nanosecond timestamp: 57552-04-02 00:00:00
2025-09-29 13:01:29,008 - INFO - Fetching recent API data for BTC/USDT 1m from 2025-08-30 13:00:01.559385
2025-09-29 13:01:32,364 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-08-31 05:40:00
2025-09-29 13:01:32,905 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-08-31 22:20:00
2025-09-29 13:01:33,424 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-01 15:00:00
2025-09-29 13:01:33,958 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-02 07:40:00
2025-09-29 13:01:34,512 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-03 00:20:00
2025-09-29 13:01:34,851 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-03 17:00:00
2025-09-29 13:01:35,207 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-04 09:40:00
2025-09-29 13:01:35,765 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-05 02:20:00
2025-09-29 13:01:36,508 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-05 19:00:00
2025-09-29 13:01:36,861 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-06 11:40:00
2025-09-29 13:01:37,396 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-07 04:20:00
2025-09-29 13:01:37,930 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-07 21:00:00
2025-09-29 13:01:38,279 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-08 13:40:00
2025-09-29 13:01:38,654 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-09 06:20:00
2025-09-29 13:01:39,472 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-09 23:00:00
2025-09-29 13:01:39,809 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-10 15:40:00
2025-09-29 13:01:40,211 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-11 08:20:00
2025-09-29 13:01:40,764 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-12 01:00:00
2025-09-29 13:01:41,111 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-12 17:40:00
2025-09-29 13:01:41,630 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-13 10:20:00
2025-09-29 13:01:42,477 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-14 03:00:00
2025-09-29 13:01:43,009 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-14 19:40:00
2025-09-29 13:01:43,815 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-15 12:20:00
2025-09-29 13:01:44,175 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-16 05:00:00
2025-09-29 13:01:44,726 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-16 21:40:00
2025-09-29 13:01:45,275 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-17 14:20:00
2025-09-29 13:01:45,992 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-18 07:00:00
2025-09-29 13:01:47,123 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-18 23:40:00
2025-09-29 13:01:47,563 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-19 16:20:00
2025-09-29 13:01:48,125 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-20 09:00:00
2025-09-29 13:01:48,445 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-21 01:40:00
2025-09-29 13:01:48,994 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-21 18:20:00
2025-09-29 13:01:49,343 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-22 11:00:00
2025-09-29 13:01:50,113 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-23 03:40:00
2025-09-29 13:01:50,549 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-23 20:20:00
